DATE,Cultivar Name,Lettuce color,catalog id,Illumination,Chlorophyll interference,Anthocyanin
05.12.25,Gauguin RZ,RED,R1,White+Blue LED,0.027,0.689
05.12.25,Gauguin RZ,RED,R2,White+Blue LED,0.026,0.921
05.12.25,Gauguin RZ,RED,R3,White+Blue LED,0.03,0.493
05.12.25,Gauguin RZ,RED,R4,White+Blue LED,0.043,1.132
05.12.25,Gauguin RZ,RED,R5,White+Blue LED,0.029,0.852
05.12.25,Gauguin RZ,RED,R6,White LED,0.029,1.276
05.12.25,Gauguin RZ,RED,R7,White LED,0.028,0.409
05.12.25,Gauguin RZ,RED,R8,White LED,0.025,0.996
05.12.25,Gauguin RZ,RED,R9,White LED,0.022,0.785
05.12.25,Gauguin RZ,RED,R10,White LED,0.023,0.807
05.12.25,Gauguin RZ,RED,R11,Shade,0.025,0.573
05.12.25,Gauguin RZ,RED,R12,Shade,0.024,0.284
05.12.25,Gauguin RZ,RED,R13,Shade,0.024,0.366
05.12.25,Gauguin RZ,RED,R14,Shade,0.025,0.355
05.12.25,Gauguin RZ,RED,R15,Shade,0.024,0.313
05.12.25,Strada,GREEN,G1,White+Blue LED,0.024,0.159
05.12.25,Strada,GREEN,G2,White+Blue LED,0.017,0.1
05.12.25,Strada,GREEN,G3,White+Blue LED,0.02,0.127
05.12.25,Strada,GREEN,G4,White+Blue LED,0.022,0.141
05.12.25,Strada,GREEN,G5,White+Blue LED,0.024,0.137
05.12.25,Strada,GREEN,G11,Shade,0.018,0.111
05.12.25,Strada,GREEN,G12,Shade,0.02,0.118
05.12.25,Strada,GREEN,G13,Shade,0.016,0.101
05.12.25,Strada,GREEN,G14,Shade,0.015,0.092
05.12.25,Strada,GREEN,G15,Shade,0.016,0.103
05.12.25,Gauguin RZ,RED,C1,Control-Sun,0.024,0.611
05.12.25,Gauguin RZ,RED,C2,Control-Sun,0.018,0.665
05.12.25,Gauguin RZ,RED,C3,Control-Sun,0.03,0.805
05.12.25,Gauguin RZ,RED,C4,Control-Sun,0.031,0.974
05.12.25,Gauguin RZ,RED,C5,Control-Sun,0.027,1.533
05.12.25,Strada,GREEN,C6,Control-Sun,0.019,0.117
05.12.25,Strada,GREEN,C7,Control-Sun,0.023,0.113
05.12.25,Strada,GREEN,C8,Control-Sun,0.02,0.125
05.12.25,Strada,GREEN,C9,Control-Sun,0.02,0.13
05.12.25,Strada,GREEN,C10,Control-Sun,0.027,0.174
09.12.25,Gauguin RZ,RED,R1,White+Blue LED,0.189,0.332
09.12.25,Gauguin RZ,RED,R2,White+Blue LED,0.168,0.447
09.12.25,Gauguin RZ,RED,R3,White+Blue LED,0.106,0.738
09.12.25,Gauguin RZ,RED,R4,White+Blue LED,0.193,0.5
