color,catalog id,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin
R,R1,0.27,0.03,0.5207,0.7561,0.189,0.332
R,R2,0.16,0.03,0.6154,0.6725,0.168,0.447
R,R3,0.13,0.03,0.8439,0.4231,0.106,0.738
R,R4,0.26,0.03,0.6931,0.7705,0.193,0.500
R,R5,0.27,0.03,0.5661,0.7224,0.181,0.386
R,R6,0.2,0.03,0.5122,0.4783,0.120,0.393
R,R7,0.25,0.03,0.5503,0.8727,0.218,0.332
R,R8,0.76,0.03,0.4176,0.7953,0.199,0.219
R,R9,0.27,0.03,0.4936,0.7913,0.198,0.296
R,R10,0.31,0.03,0.4782,0.8527,0.213,0.265
R,R11,0.28,0.03,0.3036,0.5977,0.149,0.202
R,R12,0.26,0.03,0.351,0.7063,0.177,0.292
R,R13,0.28,0.03,0.469,0.8322,0.208,0.164
R,R14,0.21,0.03,0.3723,0.6947,0.174,0.199
R,R15,0.28,0.03,0.4984,0.7101,0.178,0.321
G,G1,0.72,0.03,0.1561,0.4924,0.123,0.033
G,G2,0.27,0.03,0.1625,0.4995,0.125,0.038
G,G3,0.4,0.03,0.1741,0.5582,0.140,0.035
G,G4,0.61,0.03,0.1773,0.5863,0.147,0.031
G,G5,0.6,0.03,0.1895,0.6289,0.157,0.032
G,G6,0.37,0.03,0.1512,0.4618,0.115,0.036
G,G7,0.31,0.03,0.1854,0.5649,0.141,0.044
G,G8,0.74,0.03,0.1327,0.3839,0.096,0.037
G,G9,0.27,0.03,0.1345,0.3986,0.100,0.035
G,G10,0.34,0.03,0.1494,0.4207,0.105,0.044
G,G11,0.37,0.03,0.1574,0.4992,0.125,0.033
G,G12,0.23,0.03,0.1262,0.3416,0.085,0.041
G,G13,0.61,0.03,0.1371,0.4183,0.105,0.033
G,G14,0.27,0.03,0.151,0.4341,0.109,0.042
G,G15,0.25,0.03,0.1385,0.4195,0.105,0.034
C,C1,0.23,0.03,0.5577,0.6355,0.159,0.399
C,C2,0.25,0.03,0.7991,0.662,0.166,0.634
C,C3,0.28,0.03,0.5859,0.6995,0.175,0.411
C,C4,0.2,0.03,0.8798,0.703,0.176,0.704
C,C5,0.21,0.03,1.0127,0.5168,0.129,0.884
C,C6,0.18,0.03,0.1231,0.3403,0.085,0.038
C,C7,0.28,0.03,0.1236,0.3673,0.092,0.032
C,C8,0.31,0.03,0.1533,0.4573,0.114,0.039
C,C9,0.31,0.03,0.1206,0.3526,0.088,0.032
C,C10,0.3,0.03,0.1542,0.4561,0.114,0.040
