img_num,label_name,longitude,latitude,acquisition date,FVC,ndvi_mean,ndvi_std,ndvi_median,gndvi_mean,evi_mean,lai_mean,table_key,category,Lettuce color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
240,R15,34.91627121,32.02521896,04/01/2026,0.171821594,0.8886702,0.03732523,0.9006326,0.8886702,1.0562772,3.7036107,table_70_1774187719104786388,RED_Shade_ids,RED,0.29,0.03,1.8254,0.9992,0.25,0.4548906259532526,05/02/2026,Shade
238,R15,34.91626358,32.02522278,04/01/2026,0.173934937,0.8935184,0.040335387,0.9045804,0.8935184,1.007713,3.527905,table_29_1774187719104773188,RED_Shade_ids,RED,0.29,0.03,1.8254,0.9992,0.25,0.4548906259532526,05/02/2026,Shade
234,R10,34.91629791,32.02521515,04/01/2026,0.199237823,0.8775916,0.04112467,0.88184774,0.8775916,1.0440674,3.6594357,table_52_1774187719104780788,RED_white_led_ids,RED,0.31,0.03,1.7297,1.118,0.28,0.37156424608741756,05/02/2026,White LED
235,R10,34.91625595,32.02522278,04/01/2026,0.204093933,0.86897236,0.03744733,0.8707795,0.86897236,1.155264,4.061745,table_10_1774187719104767888,RED_white_led_ids,RED,0.31,0.03,1.7297,1.118,0.28,0.37156424608741756,05/02/2026,White LED
240,R13,34.91627121,32.02521896,04/01/2026,0.171821594,0.889627,0.052482136,0.9046304,0.889627,1.0180466,3.5652924,table_72_1774187719104786888,RED_Shade_ids,RED,0.33,0.03,1.6396,0.9694,0.242,0.334327796094182,05/02/2026,Shade
238,R13,34.91626358,32.02522278,04/01/2026,0.173934937,0.8999719,0.042062197,0.9139263,0.8999719,0.91318536,3.1859045,table_35_1774187719104775388,RED_Shade_ids,RED,0.33,0.03,1.6396,0.9694,0.242,0.334327796094182,05/02/2026,Shade
162,R6,34.91620255,32.02521515,01/12/2025,0.076473236,0.8383302,0.0451447,0.85060775,0.8383302,0.97818923,3.421089,table_26_1774168017329676068,RED_white_led_ids,RED,0.19,0.03,1.305,0.1175,0.029,0.24373096862135057,05/12/2025,White LED
165,R6,34.91619492,32.02518845,01/12/2025,0.084526062,0.8427334,0.039405875,0.8492012,0.8427334,0.977598,3.4189496,table_34_1774168017329678868,RED_white_led_ids,RED,0.19,0.03,1.305,0.1175,0.029,0.24373096862135057,05/12/2025,White LED
161,R6,34.91622543,32.02519608,01/12/2025,0.08392334,0.84614,0.03510308,0.8525877,0.84614,0.9504532,3.3207397,table_18_1774168017329673768,RED_white_led_ids,RED,0.19,0.03,1.305,0.1175,0.029,0.24373096862135057,05/12/2025,White LED
160,R6,34.91624069,32.02518463,01/12/2025,0.08599472,0.8368417,0.04295208,0.84493047,0.8368417,0.9523118,3.3274639,table_2_1774168017329667968,RED_white_led_ids,RED,0.19,0.03,1.305,0.1175,0.029,0.24373096862135057,05/12/2025,White LED
163,R6,34.91619492,32.02517319,01/12/2025,0.080104828,0.83045554,0.042476125,0.8380396,0.83045554,0.9658063,3.376287,table_10_1774168017329670768,RED_white_led_ids,RED,0.19,0.03,1.305,0.1175,0.029,0.24373096862135057,05/12/2025,White LED
240,R14,34.91627121,32.02521896,04/01/2026,0.171821594,0.88147557,0.039331663,0.8940328,0.88147557,0.9917535,3.4701645,table_71_1774187719104786588,RED_Shade_ids,RED,0.3,0.03,1.3747,0.9608,0.24,0.12663353199024652,05/02/2026,Shade
238,R14,34.91626358,32.02522278,04/01/2026,0.173934937,0.89608103,0.044556122,0.91163975,0.89608103,0.9953109,3.483035,table_28_1774187719104772888,RED_Shade_ids,RED,0.3,0.03,1.3747,0.9608,0.24,0.12663353199024652,05/02/2026,Shade
234,R9,34.91629791,32.02521515,04/01/2026,0.199237823,0.87683797,0.039221443,0.8826372,0.87683797,1.0216358,3.5782783,table_51_1774187719104780588,RED_white_led_ids,RED,0.39,0.03,1.3738,0.9998,0.25,0.11689464115081889,05/02/2026,White LED
235,R9,34.91625595,32.02522278,04/01/2026,0.204093933,0.8663893,0.0429221,0.8740772,0.8663893,1.1283627,3.9644163,table_11_1774187719104768188,RED_white_led_ids,RED,0.39,0.03,1.3738,0.9998,0.25,0.11689464115081889,05/02/2026,White LED
229,C1,34.91627502,32.02522278,22/01/2026,0.06413269,0.848011,0.049177926,0.8560659,0.848011,1.0110335,3.5399194,table_55_1774186061812426936,RED_Control_ids,RED,0.31,0.03,1.2705,0.7285,0.182,0.08434206755097555,29/01/2026,Control-Sun
230,C1,34.91625977,32.02520752,22/01/2026,0.056735992,0.8540912,0.049855676,0.8619139,0.8540912,0.9291668,3.2437253,table_45_1774186061812416236,RED_Control_ids,RED,0.31,0.03,1.2705,0.7285,0.182,0.08434206755097555,29/01/2026,Control-Sun
234,R5,34.91629791,32.02521515,04/01/2026,0.199237823,0.8803702,0.0432353,0.8884472,0.8803702,1.0415077,3.650175,table_57_1774187719104782488,RED_white_blue_led_ids,RED,0.35,0.03,1.2819,0.8524,0.213,0.06672456749616555,05/02/2026,White+Blue LED
235,R5,34.91625595,32.02522278,04/01/2026,0.204093933,0.88561606,0.04182652,0.89506316,0.88561606,1.0656788,3.737626,table_17_1774187719104769788,RED_white_blue_led_ids,RED,0.35,0.03,1.2819,0.8524,0.213,0.06672456749616555,05/02/2026,White+Blue LED
234,R8,34.91629791,32.02521515,04/01/2026,0.199237823,0.87467605,0.037663314,0.878775,0.87467605,1.0353489,3.6278923,table_50_1774187719104780288,RED_white_led_ids,RED,0.75,0.03,1.318,1.0201,0.255,0.0610960400931406,05/02/2026,White LED
235,R8,34.91625595,32.02522278,04/01/2026,0.204093933,0.8773397,0.042314608,0.8797624,0.8773397,1.0979763,3.8544788,table_12_1774187719104768488,RED_white_led_ids,RED,0.75,0.03,1.318,1.0201,0.255,0.0610960400931406,05/02/2026,White LED
