img_num,label_name,longitude,latitude,acquisition date,FVC,ndvi_mean,ndvi_std,ndvi_median,gndvi_mean,evi_mean,lai_mean,table_key,category,Lettuce color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
162,R6,34.91620255,32.02521515,01/12/2025,0.076473236,0.8383302,0.0451447,0.85060775,0.8383302,0.97818923,3.421089,table_26_1774168017329676068,RED_white_led_ids,RED,0.19,0.03,1.305,0.1175,0.029,1.276,05/12/2025,White LED
165,R6,34.91619492,32.02518845,01/12/2025,0.084526062,0.8427334,0.039405875,0.8492012,0.8427334,0.977598,3.4189496,table_34_1774168017329678868,RED_white_led_ids,RED,0.19,0.03,1.305,0.1175,0.029,1.276,05/12/2025,White LED
161,R6,34.91622543,32.02519608,01/12/2025,0.08392334,0.84614,0.03510308,0.8525877,0.84614,0.9504532,3.3207397,table_18_1774168017329673768,RED_white_led_ids,RED,0.19,0.03,1.305,0.1175,0.029,1.276,05/12/2025,White LED
160,R6,34.91624069,32.02518463,01/12/2025,0.08599472,0.8368417,0.04295208,0.84493047,0.8368417,0.9523118,3.3274639,table_2_1774168017329667968,RED_white_led_ids,RED,0.19,0.03,1.305,0.1175,0.029,1.276,05/12/2025,White LED
163,R6,34.91619492,32.02517319,01/12/2025,0.080104828,0.83045554,0.042476125,0.8380396,0.83045554,0.9658063,3.376287,table_10_1774168017329670768,RED_white_led_ids,RED,0.19,0.03,1.305,0.1175,0.029,1.276,05/12/2025,White LED
160,R1,34.91624069,32.02518463,01/12/2025,0.08599472,0.8438341,0.04966232,0.85509133,0.8438341,0.9833514,3.4397655,table_0_1774168017329665568,RED_white_blue_led_ids,RED,0.22,0.03,0.7162,0.107,0.027,0.689,05/12/2025,White+Blue LED
162,R1,34.91620255,32.02521515,01/12/2025,0.076473236,0.84077394,0.056578986,0.8575579,0.84077394,1.0129302,3.5467813,table_24_1774168017329675368,RED_white_blue_led_ids,RED,0.22,0.03,0.7162,0.107,0.027,0.689,05/12/2025,White+Blue LED
165,R1,34.91619492,32.02518845,01/12/2025,0.084526062,0.84201837,0.060903117,0.8579102,0.84201837,0.98137623,3.432619,table_32_1774168017329677768,RED_white_blue_led_ids,RED,0.22,0.03,0.7162,0.107,0.027,0.689,05/12/2025,White+Blue LED
163,R1,34.91619492,32.02517319,01/12/2025,0.080104828,0.849051,0.047333825,0.86185837,0.849051,1.0190638,3.5689728,table_8_1774168017329669768,RED_white_blue_led_ids,RED,0.22,0.03,0.7162,0.107,0.027,0.689,05/12/2025,White+Blue LED
161,R1,34.91622543,32.02519608,01/12/2025,0.08392334,0.8457907,0.048203964,0.85633874,0.8457907,0.98533636,3.446947,table_16_1774168017329672868,RED_white_blue_led_ids,RED,0.22,0.03,0.7162,0.107,0.027,0.689,05/12/2025,White+Blue LED
196,C2,34.91629028,32.02527237,29/12/2025,0.212306976,0.62054753,0.012052248,0.61963576,0.62054753,0.8943187,3.1176453,table_44_1774184724601155728,RED_Control_ids,RED,1.28,0.03,0.7704,0.4259,0.106,0.664,31/12/2025,Control-Sun
188,C2,34.91629028,32.02523041,29/12/2025,0.507305145,0.75951356,0.027108124,0.76085895,0.75951356,0.9000638,3.1384304,table_60_1774184724601159429,RED_Control_ids,RED,1.28,0.03,0.7704,0.4259,0.106,0.664,31/12/2025,Control-Sun
