label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height,huePlantMean,satPlantMean,valPlantMean,huePlantStd,satPlantStd,valPlantStd,huePlantMedian,satPlantMedian,valPlantMedian,category,Lettuce color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
R1,254,1360,947,930,20251203_122043.jpg,1800,4000,0.177196615,0.150451917,0.22364249,0.100348307,0.10425353,0.080434807,0.1875,0.134615385,0.219607843,RED_white_blue_led_ids,RED,0.22,0.03,0.7162,0.107,0.027,0.689,05/12/2025,White+Blue LED
R2,412,1509,895,746,20251203_122216.jpg,1800,4000,0.162255322,0.135927043,0.244470044,0.075831411,0.076026684,0.078611775,0.166666667,0.125,0.239215686,RED_white_blue_led_ids,RED,0.17,0.03,0.9472,0.1053,0.026,0.921,05/12/2025,White+Blue LED
R3,306,1158,1044,904,20251203_122258.jpg,1800,4000,0.196137933,0.137064454,0.218003649,0.108111351,0.100125991,0.072636523,0.194444444,0.119402985,0.215686275,RED_white_blue_led_ids,RED,0.28,0.03,0.5231,0.1204,0.03,0.493,05/12/2025,White+Blue LED
R5,447,1228,1158,1281,20251203_122737.jpg,1800,4000,0.208019655,0.234954205,0.254491511,0.157512495,0.139125453,0.053331731,0.19047619,0.231884058,0.247058824,RED_white_blue_led_ids,RED,0.22,0.03,0.8803,0.1148,0.029,0.852,05/12/2025,White+Blue LED
R7,359,1140,965,1009,20251203_123057.jpg,1800,4000,0.172622101,0.217204439,0.249418123,0.089375123,0.115415754,0.056945004,0.185185185,0.202702703,0.243137255,RED_white_led_ids,RED,0.17,0.03,0.4376,0.1128,0.028,0.409,05/12/2025,White LED
R8,78,675,1570,1193,20251203_123121.jpg,1800,4000,0.170789447,0.204187993,0.282576908,0.102002262,0.107282442,0.069172101,0.166666667,0.19047619,0.282352941,RED_white_led_ids,RED,0.19,0.03,1.021,0.0999,0.025,0.996,05/12/2025,White LED
R9,219,1474,1123,1061,20251203_123150.jpg,1800,4000,0.141721257,0.12486228,0.279857685,0.222548093,0.054857117,0.069005767,0.083333333,0.117647059,0.282352941,RED_white_led_ids,RED,0.22,0.03,0.8077,0.0893,0.022,0.785,05/12/2025,White LED
R10,1798,370,1316,1163,20251203_123214.jpg,4000,1800,0.142531744,0.190747908,0.260779371,0.142412031,0.082587486,0.078054822,0.125,0.185185185,0.250980392,RED_white_led_ids,RED,0.15,0.03,0.8298,0.0927,0.023,0.807,05/12/2025,White LED
R11,324,1000,1149,1061,20251203_123519.jpg,1800,4000,0.186113194,0.423599284,0.334026598,0.030223174,0.142450661,0.056283178,0.1875,0.436781609,0.333333333,RED_Shade_ids,RED,0.18,0.03,0.5975,0.0988,0.025,0.573,05/12/2025,Shade
R12,412,1079,1289,1132,20251203_123540.jpg,1800,4000,0.172189481,0.317966366,0.319284602,0.058390584,0.134502673,0.058929273,0.182539683,0.298076923,0.317647059,RED_Shade_ids,RED,0.23,0.03,0.3081,0.0959,0.024,0.284,05/12/2025,Shade
R13,210,1009,1053,1061,20251203_123604.jpg,1800,4000,0.19385995,0.386354887,0.306542548,0.047904665,0.130297324,0.053781049,0.19858156,0.378787879,0.301960784,RED_Shade_ids,RED,0.19,0.03,0.3898,0.0959,0.024,0.366,05/12/2025,Shade
R14,517,1211,965,965,20251203_123625.jpg,1800,4000,0.207567879,0.208392856,0.443592081,0.191642528,0.102755617,0.07856815,0.186868687,0.198630137,0.42745098,RED_Shade_ids,RED,0.25,0.03,0.3802,0.1018,0.025,0.355,05/12/2025,Shade
R15,403,1053,1228,1333,20251203_123652.jpg,1800,4000,0.153556887,0.40752527,0.298943803,0.047408263,0.186893415,0.052359302,0.161458333,0.377777778,0.290196078,RED_Shade_ids,RED,0.18,0.03,0.3379,0.0978,0.024,0.313,05/12/2025,Shade
C4,1932,440,843,824,20251203_130434.jpg,4000,1800,0.09099226,0.221665924,0.281177479,0.099973371,0.073858118,0.081710696,0.078947368,0.214285714,0.266666667,RED_Control_ids,RED,0.2,0.03,1.0048,0.1252,0.031,0.974,05/12/2025,Control-Sun
C3,2085,504,927,895,20251203_130415.jpg,4000,1800,0.121233223,0.253698286,0.289708656,0.066505515,0.093753308,0.077194555,0.125,0.242424242,0.274509804,RED_Control_ids,RED,0.24,0.03,0.8348,0.1194,0.03,0.805,05/12/2025,Control-Sun
C2,482,1544,1026,1044,20251203_130355.jpg,1800,4000,0.118880839,0.20996622,0.291770048,0.178414043,0.077032054,0.079541953,0.083333333,0.204819277,0.290196078,RED_Control_ids,RED,0.22,0.03,0.683,0.0735,0.018,0.665,05/12/2025,Control-Sun
C1,657,1702,719,728,20251203_130324.jpg,1800,4000,0.095778019,0.220772507,0.303674644,0.059625273,0.069998903,0.077573918,0.090909091,0.211764706,0.298039216,RED_Control_ids,RED,0.23,0.03,0.6346,0.0947,0.024,0.611,05/12/2025,Control-Sun
