label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height,huePlantMean,satPlantMean,valPlantMean,huePlantStd,satPlantStd,valPlantStd,huePlantMedian,satPlantMedian,valPlantMedian
R1,254,1360,947,930,20251203_122043.jpg,1800,4000,0.177196615,0.150451917,0.22364249,0.100348307,0.10425353,0.080434807,0.1875,0.134615385,0.219607843
R2,412,1509,895,746,20251203_122216.jpg,1800,4000,0.162255322,0.135927043,0.244470044,0.075831411,0.076026684,0.078611775,0.166666667,0.125,0.239215686
R3,306,1158,1044,904,20251203_122258.jpg,1800,4000,0.196137933,0.137064454,0.218003649,0.108111351,0.100125991,0.072636523,0.194444444,0.119402985,0.215686275
R4,280,930,1123,1035,20251203_122337.jpg,1800,4000,0.159161635,0.141695739,0.272063164,0.196338374,0.073063127,0.063585218,0.125,0.12987013,0.266666667
R5,447,1228,1158,1281,20251203_122737.jpg,1800,4000,0.208019655,0.234954205,0.254491511,0.157512495,0.139125453,0.053331731,0.19047619,0.231884058,0.247058824
R6,359,1439,1035,860,20251203_123031.jpg,1800,4000,0.368543729,0.087373759,0.220724198,0.391037683,0.046419032,0.06723366,0.133333333,0.083333333,0.215686275
R7,359,1140,965,1009,20251203_123057.jpg,1800,4000,0.172622101,0.217204439,0.249418123,0.089375123,0.115415754,0.056945004,0.185185185,0.202702703,0.243137255
R8,78,675,1570,1193,20251203_123121.jpg,1800,4000,0.170789447,0.204187993,0.282576908,0.102002262,0.107282442,0.069172101,0.166666667,0.19047619,0.282352941
R9,219,1474,1123,1061,20251203_123150.jpg,1800,4000,0.141721257,0.12486228,0.279857685,0.222548093,0.054857117,0.069005767,0.083333333,0.117647059,0.282352941
R10,1798,370,1316,1163,20251203_123214.jpg,4000,1800,0.142531744,0.190747908,0.260779371,0.142412031,0.082587486,0.078054822,0.125,0.185185185,0.250980392
R11,324,1000,1149,1061,20251203_123519.jpg,1800,4000,0.186113194,0.423599284,0.334026598,0.030223174,0.142450661,0.056283178,0.1875,0.436781609,0.333333333
R12,412,1079,1289,1132,20251203_123540.jpg,1800,4000,0.172189481,0.317966366,0.319284602,0.058390584,0.134502673,0.058929273,0.182539683,0.298076923,0.317647059
R13,210,1009,1053,1061,20251203_123604.jpg,1800,4000,0.19385995,0.386354887,0.306542548,0.047904665,0.130297324,0.053781049,0.19858156,0.378787879,0.301960784
R14,517,1211,965,965,20251203_123625.jpg,1800,4000,0.207567879,0.208392856,0.443592081,0.191642528,0.102755617,0.07856815,0.186868687,0.198630137,0.42745098
R15,403,1053,1228,1333,20251203_123652.jpg,1800,4000,0.153556887,0.40752527,0.298943803,0.047408263,0.186893415,0.052359302,0.161458333,0.377777778,0.290196078
G1,1600,421,1093,1003,20251203_124511.jpg,4000,1800,0.246768561,0.508613531,0.463598129,0.016243754,0.087517301,0.068336841,0.248717949,0.5,0.466666667
