img_num,label_name,longitude,latitude,acquisition date,FVC,ndvi_mean,ndvi_std,ndvi_median,gndvi_mean,evi_mean,lai_mean,"NDI_(583.85, 507.56)",category,catalog id,color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin
160,R1,34.91624069,32.02518463,01-12-2025,0.0859947204589843,0.8438341,0.04966232,0.85509133,0.8438341,0.9833514,3.4397655,0.14650552,RED_white_blue_led_ids,R1,R,0.22,0.03,0.7162,0.107,0.027,0.689
160,G1,34.91624069,32.02518463,01-12-2025,0.0859947204589843,0.8157886,0.05677559,0.82840335,0.8157886,0.99501514,3.4819648,0.23398672,GREEN_white_blue_led_ids,G1,G,0.3,0.03,0.1833,0.0969,0.024,0.159
160,R6,34.91624069,32.02518463,01-12-2025,0.0859947204589843,0.8368417,0.04295208,0.84493047,0.8368417,0.9523118,3.3274639,0.10999681,RED_white_led_ids,R6,R,0.19,0.03,1.305,0.1175,0.029,1.276
160,R11,34.91624069,32.02518463,01-12-2025,0.0859947204589843,0.8478129,0.04599344,0.8577403,0.8478129,1.0146949,3.5531662,0.20217611,RED_Shade_ids,R11,R,0.18,0.03,0.5975,0.0988,0.025,0.573
160,G11,34.91624069,32.02518463,01-12-2025,0.0859947204589843,0.8145579,0.04323713,0.82443416,0.8145579,1.0084629,3.530619,0.26084772,GREEN_Shade_ids,G11,G,0.26,0.03,0.129,0.0726,0.018,0.111
160,C1,34.91624069,32.02518463,01-12-2025,0.0859947204589843,0.84088486,0.049550638,0.85311174,0.84088486,1.0075449,3.527297,0.17056754,RED_Control_ids,C1,R,0.23,0.03,0.6346,0.0947,0.024,0.611
160,C6,34.91624069,32.02518463,01-12-2025,0.0859947204589843,0.8107342,0.047183044,0.8194616,0.8107342,1.0384895,3.6392548,0.25915992,GREEN_Control_ids,C6,G,0.55,0.03,0.1359,0.0744,0.019,0.117
163,R1,34.91619492,32.02517319,01-12-2025,0.0801048278808593,0.849051,0.047333825,0.86185837,0.849051,1.0190638,3.5689728,0.15213768,RED_white_blue_led_ids,R1,R,0.22,0.03,0.7162,0.107,0.027,0.689
163,G1,34.91619492,32.02517319,01-12-2025,0.0801048278808593,0.8255897,0.0534666,0.8425006,0.8255897,0.97660583,3.41536,0.2431693,GREEN_white_blue_led_ids,G1,G,0.3,0.03,0.1833,0.0969,0.024,0.159
163,R6,34.91619492,32.02517319,01-12-2025,0.0801048278808593,0.83045554,0.042476125,0.8380396,0.83045554,0.9658063,3.376287,0.109728776,RED_white_led_ids,R6,R,0.19,0.03,1.305,0.1175,0.029,1.276
163,R11,34.91619492,32.02517319,01-12-2025,0.0801048278808593,0.857098,0.046775177,0.87150127,0.857098,0.9998935,3.4996145,0.20980273,RED_Shade_ids,R11,R,0.18,0.03,0.5975,0.0988,0.025,0.573
163,G11,34.91619492,32.02517319,01-12-2025,0.0801048278808593,0.8102097,0.04886139,0.82186705,0.8102097,0.98968637,3.4626856,0.26191005,GREEN_Shade_ids,G11,G,0.26,0.03,0.129,0.0726,0.018,0.111
163,C1,34.91619492,32.02517319,01-12-2025,0.0801048278808593,0.84092337,0.052845493,0.85820764,0.84092337,0.97204155,3.3988461,0.1764188,RED_Control_ids,C1,R,0.23,0.03,0.6346,0.0947,0.024,0.611
163,C6,34.91619492,32.02517319,01-12-2025,0.0801048278808593,0.8246671,0.054453067,0.8400538,0.8246671,1.0187944,3.5679982,0.26848212,GREEN_Control_ids,C6,G,0.55,0.03,0.1359,0.0744,0.019,0.117
161,R1,34.91622543,32.02519608,01-12-2025,0.08392333984375,0.8457907,0.048203964,0.85633874,0.8457907,0.98533636,3.446947,0.1416138,RED_white_blue_led_ids,R1,R,0.22,0.03,0.7162,0.107,0.027,0.689
161,G1,34.91622543,32.02519608,01-12-2025,0.08392333984375,0.8277259,0.05775281,0.84478885,0.8277259,0.99896616,3.4962592,0.24142641,GREEN_white_blue_led_ids,G1,G,0.3,0.03,0.1833,0.0969,0.024,0.159
161,R6,34.91622543,32.02519608,01-12-2025,0.08392333984375,0.84614,0.03510308,0.8525877,0.84614,0.9504532,3.3207397,0.11393145,RED_white_led_ids,R6,R,0.19,0.03,1.305,0.1175,0.029,1.276
161,R11,34.91622543,32.02519608,01-12-2025,0.08392333984375,0.8401485,0.051139217,0.8521813,0.8401485,1.012036,3.5435462,0.19602768,RED_Shade_ids,R11,R,0.18,0.03,0.5975,0.0988,0.025,0.573
161,G11,34.91622543,32.02519608,01-12-2025,0.08392333984375,0.8229744,0.046115737,0.8325918,0.8229744,0.99474484,3.4809868,0.26327154,GREEN_Shade_ids,G11,G,0.26,0.03,0.129,0.0726,0.018,0.111
161,C1,34.91622543,32.02519608,01-12-2025,0.08392333984375,0.8453792,0.045393948,0.8594801,0.8453792,0.9808037,3.430548,0.17340423,RED_Control_ids,C1,R,0.23,0.03,0.6346,0.0947,0.024,0.611
161,C6,34.91622543,32.02519608,01-12-2025,0.08392333984375,0.82446414,0.049101803,0.833028,0.82446414,1.033408,3.6208706,0.26750877,GREEN_Control_ids,C6,G,0.55,0.03,0.1359,0.0744,0.019,0.117
162,R1,34.91620255,32.02521515,01-12-2025,0.0764732360839843,0.84077394,0.056578986,0.8575579,0.84077394,1.0129302,3.5467813,0.14032094,RED_white_blue_led_ids,R1,R,0.22,0.03,0.7162,0.107,0.027,0.689
162,G1,34.91620255,32.02521515,01-12-2025,0.0764732360839843,0.82885206,0.053683966,0.8478634,0.82885206,1.0050031,3.518101,0.23730543,GREEN_white_blue_led_ids,G1,G,0.3,0.03,0.1833,0.0969,0.024,0.159
162,R6,34.91620255,32.02521515,01-12-2025,0.0764732360839843,0.8383302,0.0451447,0.85060775,0.8383302,0.97818923,3.421089,0.11482502,RED_white_led_ids,R6,R,0.19,0.03,1.305,0.1175,0.029,1.276
162,R11,34.91620255,32.02521515,01-12-2025,0.0764732360839843,0.85267437,0.049921136,0.8675006,0.85267437,1.0269415,3.5974748,0.20593454,RED_Shade_ids,R11,R,0.18,0.03,0.5975,0.0988,0.025,0.573
162,G11,34.91620255,32.02521515,01-12-2025,0.0764732360839843,0.8123235,0.04510127,0.824468,0.8123235,1.0306269,3.6108081,0.25969854,GREEN_Shade_ids,G11,G,0.26,0.03,0.129,0.0726,0.018,0.111
162,C1,34.91620255,32.02521515,01-12-2025,0.0764732360839843,0.83265215,0.054312382,0.85165215,0.83265215,0.9587574,3.3507843,0.16682766,RED_Control_ids,C1,R,0.23,0.03,0.6346,0.0947,0.024,0.611
162,C6,34.91620255,32.02521515,01-12-2025,0.0764732360839843,0.8228557,0.052069243,0.8323897,0.8228557,1.0411385,3.6488395,0.26108506,GREEN_Control_ids,C6,G,0.55,0.03,0.1359,0.0744,0.019,0.117
165,R1,34.91619492,32.02518845,01-12-2025,0.0845260620117187,0.84201837,0.060903117,0.8579102,0.84201837,0.98137623,3.432619,0.14609231,RED_white_blue_led_ids,R1,R,0.22,0.03,0.7162,0.107,0.027,0.689
165,G1,34.91619492,32.02518845,01-12-2025,0.0845260620117187,0.8189627,0.052299254,0.83700144,0.8189627,0.9853694,3.4470663,0.24923217,GREEN_white_blue_led_ids,G1,G,0.3,0.03,0.1833,0.0969,0.024,0.159
165,R6,34.91619492,32.02518845,01-12-2025,0.0845260620117187,0.8427334,0.039405875,0.8492012,0.8427334,0.977598,3.4189496,0.11763016,RED_white_led_ids,R6,R,0.19,0.03,1.305,0.1175,0.029,1.276
165,R11,34.91619492,32.02518845,01-12-2025,0.0845260620117187,0.8597116,0.044777974,0.8705078,0.8597116,1.0345082,3.6248507,0.21538757,RED_Shade_ids,R11,R,0.18,0.03,0.5975,0.0988,0.025,0.573
165,G11,34.91619492,32.02518845,01-12-2025,0.0845260620117187,0.80634546,0.045533575,0.8153216,0.80634546,1.0135446,3.5490043,0.26630977,GREEN_Shade_ids,G11,G,0.26,0.03,0.129,0.0726,0.018,0.111
165,C1,34.91619492,32.02518845,01-12-2025,0.0845260620117187,0.8382012,0.049054865,0.8492184,0.8382012,0.9567803,3.3436308,0.18578963,RED_Control_ids,C1,R,0.23,0.03,0.6346,0.0947,0.024,0.611
165,C6,34.91619492,32.02518845,01-12-2025,0.0845260620117187,0.82401985,0.055914756,0.84209573,0.82401985,1.055309,3.700108,0.27493882,GREEN_Control_ids,C6,G,0.55,0.03,0.1359,0.0744,0.019,0.117
