img_num,label_name,longitude,latitude,acquisition date,FVC,ndvi_mean,ndvi_std,ndvi_median,gndvi_mean,evi_mean,lai_mean,"NDI_(583.85, 507.56)",category,catalog id,color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin
187,G1,34.91627121,32.02519608,29/12/2025,0.462516785,0.7870232,0.04756066,0.79368573,0.7870232,0.81684387,2.837341,0.23197523,GREEN_white_blue_led_ids,G1,G,1.05,0.03,0.0944,0.2099,0.052,0.042
187,R1,34.91627121,32.02519608,29/12/2025,0.462516785,0.82016766,0.036959264,0.8240693,0.82016766,0.8544204,2.973293,0.14340903,RED_white_blue_led_ids,R1,R,1.19,0.03,0.4624,0.7665,0.192,0.271
187,R2,34.91627121,32.02519608,29/12/2025,0.462516785,0.8145222,0.034342393,0.81615525,0.8145222,0.81583107,2.8336768,0.15784518,RED_white_blue_led_ids,R2,R,1.33,0.03,0.4595,0.6231,0.156,0.304
187,R3,34.91627121,32.02519608,29/12/2025,0.462516785,0.8094546,0.031583242,0.81108826,0.8094546,0.7721808,2.67575,0.16246524,RED_white_blue_led_ids,R3,R,1.23,0.03,0.3323,0.481,0.12,0.212
187,G6,34.91627121,32.02519608,29/12/2025,0.462516785,0.81484485,0.03715506,0.81782794,0.81484485,0.8740003,3.0441332,0.23527265,GREEN_white_led_ids,G6,G,1.49,0.03,0.1135,0.323,0.081,0.033
187,R6,34.91627121,32.02519608,29/12/2025,0.462516785,0.8258169,0.041751187,0.83351994,0.8258169,0.8840966,3.0806615,0.12347998,RED_white_led_ids,R6,R,1.16,0.03,0.4764,0.898,0.225,0.252
187,R7,34.91627121,32.02519608,29/12/2025,0.462516785,0.82623065,0.02902961,0.83012486,0.82623065,0.8679249,3.0221524,0.1525307,RED_white_led_ids,R7,R,1.23,0.03,0.3513,0.7048,0.176,0.175
187,R8,34.91627121,32.02519608,29/12/2025,0.462516785,0.8245253,0.036755662,0.8303612,0.8245253,0.82276404,2.8587606,0.15709792,RED_white_led_ids,R8,R,1.37,0.03,0.5488,0.7335,0.183,0.365
187,G11,34.91627121,32.02519608,29/12/2025,0.462516785,0.7964988,0.044068225,0.800108,0.7964988,0.8437077,2.9345348,0.24862117,GREEN_Shade_ids,G11,G,1.33,0.03,0.0513,0.0372,0.009,0.042
187,R11,34.91627121,32.02519608,29/12/2025,0.462516785,0.80217224,0.038248263,0.80509955,0.80217224,0.8360295,2.906755,0.21478368,RED_Shade_ids,R11,R,1.05,0.03,0.3463,0.6847,0.171,-0.104
187,R12,34.91627121,32.02519608,29/12/2025,0.462516785,0.80708873,0.037789892,0.810159,0.80708873,0.8317812,2.8913846,0.214029,RED_Shade_ids,R12,R,0.84,0.03,0.0671,0.0455,0.011,0.363
187,R13,34.91627121,32.02519608,29/12/2025,0.462516785,0.78481185,0.039099798,0.7892009,0.78481185,0.7557041,2.6161377,0.2076165,RED_Shade_ids,R13,R,1.4,0.03,0.3745,0.6017,0.15,0.119
187,C6,34.91627121,32.02519608,29/12/2025,0.462516785,0.8155366,0.034816157,0.8176751,0.8155366,0.8847382,3.082983,0.2337988,GREEN_Control_ids,C6,C,2.96,0.03,0.1286,0.3738,0.093,0.035
187,C1,34.91627121,32.02519608,29/12/2025,0.462516785,0.82814014,0.03248804,0.82997745,0.82814014,0.89046234,3.103693,0.13538542,RED_Control_ids,C1,C,1.66,0.03,0.3949,0.4867,0.122,0.273
187,C2,34.91627121,32.02519608,29/12/2025,0.462516785,0.81945235,0.030896282,0.82207376,0.81945235,0.8532532,2.96907,0.14937058,RED_Control_ids,C2,C,1.25,0.03,0.5171,0.5872,0.147,0.37
187,C3,34.91627121,32.02519608,29/12/2025,0.462516785,0.81615233,0.032571923,0.8181266,0.81615233,0.81555325,2.8326716,0.16060415,RED_Control_ids,C3,C,1.4,0.03,0.5147,0.5375,0.134,0.38
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
