img_num,label_name,longitude,latitude,acquisition date,FVC,ndvi_mean,ndvi_std,ndvi_median,gndvi_mean,evi_mean,lai_mean,"NDI_(583.85, 507.56)",category,catalog id,color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin
178,R1,34.91627502,32.0252037,23-12-2025,0.2997398376464844,0.91248214,0.046082407,0.9224961,0.91248214,1.0046978,3.5169969,0.16724971,RED_white_blue_led_ids,R1,R,0.42,0.03,0.3447,0.4428,0.111,0.234
178,R2,34.91627502,32.0252037,23-12-2025,0.2997398376464844,0.8994088,0.04758016,0.9058518,0.8994088,1.0391688,3.6417127,0.23177083,RED_white_blue_led_ids,R2,R,1.2,0.03,0.4441,0.7598,0.19,0.254
178,R3,34.91627502,32.0252037,23-12-2025,0.2997398376464844,0.90614295,0.043801032,0.91657144,0.90614295,1.0419716,3.6518528,0.17758657,RED_white_blue_led_ids,R3,R,0.38,0.03,0.5158,0.5741,0.144,0.372
178,G1,34.91627502,32.0252037,23-12-2025,0.2997398376464844,0.8712773,0.056932647,0.87944686,0.8712773,0.99176455,3.4702046,0.2903273,GREEN_white_blue_led_ids,G1,G,1.37,0.03,0.1367,0.3499,0.087,0.049
178,R6,34.91627502,32.0252037,23-12-2025,0.2997398376464844,0.905269,0.043392137,0.9149047,0.905269,0.9834537,3.4401357,0.22991367,RED_white_led_ids,R6,R,0.77,0.03,0.3906,0.5912,0.148,0.243
178,R7,34.91627502,32.0252037,23-12-2025,0.2997398376464844,0.91707903,0.04146955,0.9268351,0.91707903,1.0427123,3.654533,0.21328942,RED_white_led_ids,R7,R,0.92,0.03,0.4189,0.6681,0.167,0.252
178,R8,34.91627502,32.0252037,23-12-2025,0.2997398376464844,0.9102022,0.046934247,0.91923654,0.9102022,1.0758727,3.7745073,0.18854092,RED_white_led_ids,R8,R,0.82,0.03,0.4001,0.6581,0.165,0.236
178,G6,34.91627502,32.0252037,23-12-2025,0.2997398376464844,0.88703114,0.042580996,0.89422035,0.88703114,0.9674137,3.3821027,0.2731815,GREEN_white_led_ids,G6,G,1.51,0.03,0.1095,0.2889,0.072,0.037
178,R11,34.91627502,32.0252037,23-12-2025,0.2997398376464844,0.88931763,0.041172516,0.900059,0.88931763,0.9404467,3.2845364,0.29138565,RED_Shade_ids,R11,R,0.52,0.03,0.4445,0.8693,0.217,0.227
178,R12,34.91627502,32.0252037,23-12-2025,0.2997398376464844,0.87071675,0.049616255,0.87659585,0.87071675,0.9831174,3.4389188,0.27661318,RED_Shade_ids,R12,R,0.36,0.03,0.4124,0.6571,0.164,0.248
178,R13,34.91627502,32.0252037,23-12-2025,0.2997398376464844,0.8731311,0.05689519,0.88173664,0.8731311,0.9551504,3.337734,0.22157274,RED_Shade_ids,R13,R,0.31,0.03,0.3879,0.4841,0.121,0.267
178,G11,34.91627502,32.0252037,23-12-2025,0.2997398376464844,0.836166,0.051279057,0.8394433,0.836166,0.9575546,3.3464327,0.27020398,GREEN_Shade_ids,G11,G,0.88,0.03,0.1282,0.3164,0.079,0.049
178,C1,34.91627502,32.0252037,23-12-2025,0.2997398376464844,0.9130834,0.048012305,0.9293438,0.9130834,0.9281518,3.2400532,0.23740348,RED_Control_ids,C1,C,0.38,0.03,0.4537,0.3259,0.081,0.372
178,C2,34.91627502,32.0252037,23-12-2025,0.2997398376464844,0.9030593,0.047592446,0.91352594,0.9030593,0.9928817,3.474246,0.24020651,RED_Control_ids,C2,C,0.42,0.03,0.7704,0.4259,0.106,0.664
178,C3,34.91627502,32.0252037,23-12-2025,0.2997398376464844,0.9035929,0.048477873,0.91468585,0.9035929,0.99350184,3.4764895,0.22136131,RED_Control_ids,C3,C,0.79,0.03,0.6139,0.6157,0.154,0.46
178,C6,34.91627502,32.0252037,23-12-2025,0.2997398376464844,0.89315194,0.048176788,0.90084606,0.89315194,1.0116953,3.5423136,0.31815213,GREEN_Control_ids,C6,C,0.66,0.03,0.1153,0.2914,0.073,0.042
