img_num,label_name,longitude,latitude,acquisition date,FVC,ndvi_mean,ndvi_std,ndvi_median,gndvi_mean,evi_mean,lai_mean
156,6.0,34.81571198,32.00261307,24-11-2025,0.038471221923828125,0.7610767,0.04517761,0.76589596,0.7610767,0.8948253,3.119478
156,3.0,34.81571198,32.00261307,24-11-2025,0.038471221923828125,0.77454734,0.047268786,0.7805092,0.77454734,0.8971918,3.1280398
156,5.0,34.81571198,32.00261307,24-11-2025,0.038471221923828125,0.8021895,0.053885,0.8164251,0.8021895,0.8973805,3.1287227
156,1.0,34.81571198,32.00261307,24-11-2025,0.038471221923828125,0.7965537,0.042870995,0.80273974,0.7965537,0.89603424,3.1238518
156,2.0,34.81571198,32.00261307,24-11-2025,0.038471221923828125,0.80367666,0.047921374,0.81571287,0.80367666,0.8804214,3.0673645
156,4.0,34.81571198,32.00261307,24-11-2025,0.038471221923828125,0.77314943,0.06504104,0.7916666,0.77314943,0.8656138,3.0137908
155,3.0,34.81572723,32.00259781,24-11-2025,0.0378570556640625,0.7692109,0.04556755,0.7747921,0.7692109,0.8846046,3.082499
155,1.0,34.81572723,32.00259781,24-11-2025,0.0378570556640625,0.79432267,0.044998273,0.8019518,0.79432267,0.88218904,3.07376
155,6.0,34.81572723,32.00259781,24-11-2025,0.0378570556640625,0.768024,0.05222045,0.77903324,0.768024,0.8941849,3.117161
155,5.0,34.81572723,32.00259781,24-11-2025,0.0378570556640625,0.7904908,0.054204766,0.8048146,0.7904908,0.9206696,3.2129831
155,4.0,34.81572723,32.00259781,24-11-2025,0.0378570556640625,0.7638955,0.06169409,0.7770434,0.7638955,0.8714244,3.0348134
155,2.0,34.81572723,32.00259781,24-11-2025,0.0378570556640625,0.7991052,0.050100893,0.80910915,0.7991052,0.86056006,2.995506
157,2.0,34.81567764,32.00254440,24-11-2025,0.037952423095703125,0.78560835,0.047891755,0.7953568,0.78560835,0.84051675,2.9229894
157,5.0,34.81567764,32.00254440,24-11-2025,0.037952423095703125,0.79354715,0.050558563,0.80798006,0.79354715,0.9038392,3.1520903
157,1.0,34.81567764,32.00254440,24-11-2025,0.037952423095703125,0.79325366,0.04106911,0.7991137,0.79325366,0.8694629,3.0277169
157,6.0,34.81567764,32.00254440,24-11-2025,0.037952423095703125,0.7701261,0.04464075,0.77587736,0.7701261,0.93099636,3.2503448
157,3.0,34.81567764,32.00254440,24-11-2025,0.037952423095703125,0.76586366,0.04723092,0.7694915,0.76586366,0.89689445,3.126964
157,4.0,34.81567764,32.00254440,24-11-2025,0.037952423095703125,0.7647957,0.06036172,0.78153735,0.7647957,0.8711967,3.0339894
154,1.0,34.81571579,32.00253296,24-11-2025,0.0389251708984375,0.7995909,0.04252318,0.80427045,0.7995909,0.89893866,3.1343598
154,3.0,34.81571579,32.00253296,24-11-2025,0.0389251708984375,0.7592409,0.04688262,0.76306343,0.7592409,0.8575563,2.9846387
154,4.0,34.81571579,32.00253296,24-11-2025,0.0389251708984375,0.7619555,0.062790215,0.77810985,0.7619555,0.8706974,3.032183
154,5.0,34.81571579,32.00253296,24-11-2025,0.0389251708984375,0.80045795,0.052417964,0.81173515,0.80045795,0.9283009,3.240592
154,6.0,34.81571579,32.00253296,24-11-2025,0.0389251708984375,0.77463925,0.047110602,0.7822759,0.77463925,0.9310248,3.250448
154,2.0,34.81571579,32.00253296,24-11-2025,0.0389251708984375,0.7891492,0.04684711,0.7992395,0.7891492,0.86324936,3.0052364
