Lettuce color,catalog id,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
RED,R1,0.22,0.03,0.7162,0.107,0.027,0.689,05/12/2025,White+Blue LED
RED,R2,0.17,0.03,0.9472,0.1053,0.026,0.921,05/12/2025,White+Blue LED
RED,R3,0.28,0.03,0.5231,0.1204,0.03,0.493,05/12/2025,White+Blue LED
RED,R4,0.39,0.03,1.1758,0.1733,0.043,1.132,05/12/2025,White+Blue LED
RED,R5,0.22,0.03,0.8803,0.1148,0.029,0.852,05/12/2025,White+Blue LED
RED,R6,0.19,0.03,1.305,0.1175,0.029,1.276,05/12/2025,White LED
RED,R7,0.17,0.03,0.4376,0.1128,0.028,0.409,05/12/2025,White LED
RED,R8,0.19,0.03,1.021,0.0999,0.025,0.996,05/12/2025,White LED
RED,R9,0.22,0.03,0.8077,0.0893,0.022,0.785,05/12/2025,White LED
RED,R10,0.15,0.03,0.8298,0.0927,0.023,0.807,05/12/2025,White LED
RED,R11,0.18,0.03,0.5975,0.0988,0.025,0.573,05/12/2025,Shade
RED,R12,0.23,0.03,0.3081,0.0959,0.024,0.284,05/12/2025,Shade
RED,R13,0.19,0.03,0.3898,0.0959,0.024,0.366,05/12/2025,Shade
RED,R14,0.25,0.03,0.3802,0.1018,0.025,0.355,05/12/2025,Shade
RED,R15,0.18,0.03,0.3379,0.0978,0.024,0.313,05/12/2025,Shade
GREEN,G1,0.3,0.03,0.1833,0.0969,0.024,0.159,05/12/2025,White+Blue LED
GREEN,G2,0.12,0.03,0.1172,0.0677,0.017,0.1,05/12/2025,White+Blue LED
GREEN,G3,0.31,0.03,0.147,0.0809,0.02,0.127,05/12/2025,White+Blue LED
GREEN,G4,0.32,0.03,0.1635,0.0888,0.022,0.141,05/12/2025,White+Blue LED
GREEN,G5,0.38,0.03,0.1606,0.0944,0.024,0.137,05/12/2025,White+Blue LED
GREEN,G11,0.26,0.03,0.129,0.0726,0.018,0.111,05/12/2025,Shade
GREEN,G12,0.37,0.03,0.138,0.0803,0.02,0.118,05/12/2025,Shade
GREEN,G13,0.17,0.03,0.1169,0.0625,0.016,0.101,05/12/2025,Shade
GREEN,G14,0.18,0.03,0.1072,0.0611,0.015,0.092,05/12/2025,Shade
GREEN,G15,0.2,0.03,0.1185,0.0635,0.016,0.103,05/12/2025,Shade
RED,C1,0.23,0.03,0.6346,0.0947,0.024,0.611,05/12/2025,Control-Sun
RED,C2,0.22,0.03,0.683,0.0735,0.018,0.665,05/12/2025,Control-Sun
RED,C3,0.24,0.03,0.8348,0.1194,0.03,0.805,05/12/2025,Control-Sun
RED,C4,0.2,0.03,1.0048,0.1252,0.031,0.974,05/12/2025,Control-Sun
RED,C5,0.21,0.03,1.5604,0.1099,0.027,1.533,05/12/2025,Control-Sun
GREEN,C6,0.55,0.03,0.1359,0.0744,0.019,0.117,05/12/2025,Control-Sun
GREEN,C7,0.44,0.03,0.1359,0.0915,0.023,0.113,05/12/2025,Control-Sun
GREEN,C8,0.23,0.03,0.1447,0.0786,0.02,0.125,05/12/2025,Control-Sun
GREEN,C9,0.33,0.03,0.1504,0.08,0.02,0.13,05/12/2025,Control-Sun
GREEN,C10,0.33,0.03,0.2007,0.1075,0.027,0.174,05/12/2025,Control-Sun
RED,R1,0.27,0.03,0.5207,0.7561,0.189,0.332,09/12/2025,White+Blue LED
RED,R2,0.16,0.03,0.6154,0.6725,0.168,0.447,09/12/2025,White+Blue LED
RED,R3,0.13,0.03,0.8439,0.4231,0.106,0.738,09/12/2025,White+Blue LED
RED,R4,0.26,0.03,0.6931,0.7705,0.193,0.5,09/12/2025,White+Blue LED
RED,R5,0.27,0.03,0.5661,0.7224,0.181,0.386,09/12/2025,White+Blue LED
RED,R6,0.2,0.03,0.5122,0.4783,0.12,0.393,09/12/2025,White LED
RED,R7,0.25,0.03,0.5503,0.8727,0.218,0.332,09/12/2025,White LED
RED,R8,0.76,0.03,0.4176,0.7953,0.199,0.219,09/12/2025,White LED
RED,R9,0.27,0.03,0.4936,0.7913,0.198,0.296,09/12/2025,White LED
RED,R10,0.31,0.03,0.4782,0.8527,0.213,0.265,09/12/2025,White LED
RED,R11,0.28,0.03,0.3036,0.5977,0.149,0.202,09/12/2025,Shade
RED,R12,0.26,0.03,0.351,0.7063,0.177,0.292,09/12/2025,Shade
RED,R13,0.28,0.03,0.469,0.8322,0.208,0.164,09/12/2025,Shade
RED,R14,0.21,0.03,0.3723,0.6947,0.174,0.199,09/12/2025,Shade
RED,R15,0.28,0.03,0.4984,0.7101,0.178,0.321,09/12/2025,Shade
GREEN,G1,0.72,0.03,0.1561,0.4924,0.123,0.033,09/12/2025,White+Blue LED
GREEN,G2,0.27,0.03,0.1625,0.4995,0.125,0.038,09/12/2025,White+Blue LED
GREEN,G3,0.4,0.03,0.1741,0.5582,0.14,0.035,09/12/2025,White+Blue LED
GREEN,G4,0.61,0.03,0.1773,0.5863,0.147,0.031,09/12/2025,White+Blue LED
GREEN,G5,0.6,0.03,0.1895,0.6289,0.157,0.032,09/12/2025,White+Blue LED
GREEN,G6,0.37,0.03,0.1512,0.4618,0.115,0.036,09/12/2025,White LED
GREEN,G7,0.31,0.03,0.1854,0.5649,0.141,0.044,09/12/2025,White LED
GREEN,G8,0.74,0.03,0.1327,0.3839,0.096,0.037,09/12/2025,White LED
GREEN,G9,0.27,0.03,0.1345,0.3986,0.1,0.035,09/12/2025,White LED
GREEN,G10,0.34,0.03,0.1494,0.4207,0.105,0.044,09/12/2025,White LED
GREEN,G11,0.37,0.03,0.1574,0.4992,0.125,0.033,09/12/2025,Shade
GREEN,G12,0.23,0.03,0.1262,0.3416,0.085,0.041,09/12/2025,Shade
GREEN,G13,0.61,0.03,0.1371,0.4183,0.105,0.033,09/12/2025,Shade
GREEN,G14,0.27,0.03,0.151,0.4341,0.109,0.042,09/12/2025,Shade
GREEN,G15,0.25,0.03,0.1385,0.4195,0.105,0.034,09/12/2025,Shade
RED,C1,0.23,0.03,0.5577,0.6355,0.159,0.399,09/12/2025,Control-Sun
RED,C2,0.25,0.03,0.7991,0.662,0.166,0.634,09/12/2025,Control-Sun
RED,C3,0.28,0.03,0.5859,0.6995,0.175,0.411,09/12/2025,Control-Sun
RED,C4,0.2,0.03,0.8798,0.703,0.176,0.704,09/12/2025,Control-Sun
RED,C5,0.21,0.03,1.0127,0.5168,0.129,0.884,09/12/2025,Control-Sun
GREEN,C6,0.18,0.03,0.1231,0.3403,0.085,0.038,09/12/2025,Control-Sun
GREEN,C7,0.28,0.03,0.1236,0.3673,0.092,0.032,09/12/2025,Control-Sun
GREEN,C8,0.31,0.03,0.1533,0.4573,0.114,0.039,09/12/2025,Control-Sun
GREEN,C9,0.31,0.03,0.1206,0.3526,0.088,0.032,09/12/2025,Control-Sun
GREEN,C10,0.3,0.03,0.1542,0.4561,0.114,0.04,09/12/2025,Control-Sun
RED,R1,0.42,0.03,0.3447,0.4428,0.111,0.234,17/12/2025,White+Blue LED
RED,R2,1.2,0.03,0.4441,0.7598,0.19,0.254,17/12/2025,White+Blue LED
RED,R3,0.38,0.03,0.5158,0.5741,0.144,0.372,17/12/2025,White+Blue LED
RED,R4,0.78,0.03,0.3692,0.5843,0.146,0.223,17/12/2025,White+Blue LED
RED,R5,1.6,0.03,0.4115,0.4563,0.114,0.297,17/12/2025,White+Blue LED
RED,R6,0.77,0.03,0.3906,0.5912,0.148,0.243,17/12/2025,White LED
RED,R7,0.92,0.03,0.4189,0.6681,0.167,0.252,17/12/2025,White LED
RED,R8,0.82,0.03,0.4001,0.6581,0.165,0.236,17/12/2025,White LED
RED,R9,0.94,0.03,0.3971,0.6621,0.166,0.232,17/12/2025,White LED
RED,R10,0.53,0.03,0.3766,0.5876,0.147,0.23,17/12/2025,White LED
RED,R11,0.52,0.03,0.4445,0.8693,0.217,0.227,17/12/2025,Shade
RED,R12,0.36,0.03,0.4124,0.6571,0.164,0.248,17/12/2025,Shade
RED,R13,0.31,0.03,0.3879,0.4841,0.121,0.267,17/12/2025,Shade
RED,R14,0.57,0.03,0.3571,0.5738,0.143,0.214,17/12/2025,Shade
RED,R15,0.45,0.03,0.3403,0.5243,0.131,0.209,17/12/2025,Shade
GREEN,G1,1.37,0.03,0.1367,0.3499,0.087,0.049,17/12/2025,White+Blue LED
GREEN,G2,1.3,0.03,0.1486,0.4449,0.111,0.037,17/12/2025,White+Blue LED
GREEN,G3,1.02,0.03,0.1177,0.2626,0.066,0.052,17/12/2025,White+Blue LED
GREEN,G4,1.43,0.03,0.136,0.3986,0.1,0.036,17/12/2025,White+Blue LED
GREEN,G5,1.07,0.03,0.1326,0.3809,0.095,0.037,17/12/2025,White+Blue LED
GREEN,G6,1.51,0.03,0.1095,0.2889,0.072,0.037,17/12/2025,White LED
GREEN,G7,0.98,0.03,0.1572,0.4775,0.119,0.038,17/12/2025,White LED
GREEN,G8,1.23,0.03,0.1188,0.3512,0.088,0.031,17/12/2025,White LED
GREEN,G9,0.93,0.03,0.1364,0.3635,0.091,0.046,17/12/2025,White LED
GREEN,G10,1.53,0.03,0.13,0.3798,0.095,0.035,17/12/2025,White LED
GREEN,G11,0.88,0.03,0.1282,0.3164,0.079,0.049,17/12/2025,Shade
GREEN,G12,0.72,0.03,0.1259,0.3516,0.088,0.038,17/12/2025,Shade
GREEN,G13,0.76,0.03,0.1122,0.2965,0.074,0.038,17/12/2025,Shade
GREEN,G14,0.49,0.03,0.1265,0.3537,0.088,0.038,17/12/2025,Shade
GREEN,G15,0.7,0.03,0.1363,0.3911,0.098,0.039,17/12/2025,Shade
RED,C1,0.38,0.03,0.4537,0.3259,0.081,0.372,17/12/2025,Control-Sun
RED,C2,0.42,0.03,0.7704,0.4259,0.106,0.664,17/12/2025,Control-Sun
RED,C3,0.79,0.03,0.6139,0.6157,0.154,0.46,17/12/2025,Control-Sun
RED,C4,0.48,0.03,0.5629,0.5422,0.136,0.427,17/12/2025,Control-Sun
RED,C5,0.29,0.03,0.6089,0.3531,0.088,0.521,17/12/2025,Control-Sun
GREEN,C6,0.66,0.03,0.1153,0.2914,0.073,0.042,17/12/2025,Control-Sun
GREEN,C7,1.75,0.03,0.1715,0.4975,0.124,0.047,17/12/2025,Control-Sun
GREEN,C8,0.9,0.03,0.1173,0.3287,0.082,0.035,17/12/2025,Control-Sun
GREEN,C9,0.67,0.03,0.1455,0.3441,0.086,0.059,17/12/2025,Control-Sun
GREEN,C10,0.5,0.03,0.1059,0.2438,0.061,0.045,17/12/2025,Control-Sun
RED,R1,1.19,0.03,0.4624,0.7665,0.192,0.271,25/12/2025,White+Blue LED
RED,R2,1.33,0.03,0.4595,0.6231,0.156,0.304,25/12/2025,White+Blue LED
RED,R3,1.23,0.03,0.3323,0.481,0.12,0.212,25/12/2025,White+Blue LED
RED,R4,1.48,0.03,0.7471,1.1488,0.287,0.46,25/12/2025,White+Blue LED
RED,R5,1.0,0.03,0.0444,0.0357,0.009,0.035,25/12/2025,White+Blue LED
RED,R6,1.16,0.03,0.4764,0.898,0.225,0.252,25/12/2025,White LED
RED,R7,1.23,0.03,0.3513,0.7048,0.176,0.175,25/12/2025,White LED
RED,R8,1.37,0.03,0.5488,0.7335,0.183,0.365,25/12/2025,White LED
RED,R9,1.96,0.03,0.3974,0.5184,0.13,0.268,25/12/2025,White LED
RED,R10,1.43,0.03,0.4154,0.6842,0.171,0.244,25/12/2025,White LED
RED,R11,1.05,0.03,0.3463,0.6847,0.171,0.175,25/12/2025,Shade
RED,R12,0.84,0.03,0.0671,0.0455,0.011,0.056,25/12/2025,Shade
RED,R13,1.4,0.03,0.3745,0.6017,0.15,0.224,25/12/2025,Shade
RED,R14,1.16,0.03,0.2694,0.5717,0.143,0.126,25/12/2025,Shade
RED,R15,1.12,0.03,0.3023,0.5778,0.144,0.158,25/12/2025,Shade
GREEN,G1,1.05,0.03,0.0944,0.2099,0.052,0.042,25/12/2025,White+Blue LED
GREEN,G2,1.44,0.03,0.1354,0.3956,0.099,0.037,25/12/2025,White+Blue LED
GREEN,G3,1.29,0.03,0.1441,0.3999,0.1,0.044,25/12/2025,White+Blue LED
GREEN,G4,1.01,0.03,0.0464,0.0395,0.01,0.037,25/12/2025,White+Blue LED
GREEN,G5,1.23,0.03,0.1354,0.2089,0.052,0.083,25/12/2025,White+Blue LED
GREEN,G6,1.49,0.03,0.1135,0.323,0.081,0.033,25/12/2025,White LED
GREEN,G7,1.59,0.03,0.1919,0.3444,0.086,0.106,25/12/2025,White LED
GREEN,G8,1.02,0.03,0.1208,0.3296,0.082,0.038,25/12/2025,White LED
GREEN,G9,1.54,0.03,0.1653,0.4997,0.125,0.04,25/12/2025,White LED
GREEN,G10,1.88,0.03,0.1209,0.3374,0.084,0.037,25/12/2025,White LED
GREEN,G11,1.33,0.03,0.0513,0.0372,0.009,0.042,25/12/2025,Shade
GREEN,G12,1.53,0.03,0.1286,0.395,0.099,0.03,25/12/2025,Shade
GREEN,G13,0.91,0.03,0.1089,0.265,0.066,0.043,25/12/2025,Shade
GREEN,G14,1.26,0.03,0.0389,0.0368,0.009,0.03,25/12/2025,Shade
GREEN,G15,0.91,0.03,0.1254,0.3337,0.083,0.042,25/12/2025,Shade
RED,C1,1.66,0.03,0.3949,0.4867,0.122,0.273,25/12/2025,Control-Sun
RED,C2,1.25,0.03,0.5171,0.5872,0.147,0.37,25/12/2025,Control-Sun
RED,C3,1.4,0.03,0.5147,0.5375,0.134,0.38,25/12/2025,Control-Sun
RED,C4,1.44,0.03,0.1813,0.2252,0.056,0.125,25/12/2025,Control-Sun
RED,C5,1.71,0.03,0.6944,0.7016,0.175,0.519,25/12/2025,Control-Sun
GREEN,C6,2.96,0.03,0.1286,0.3738,0.093,0.035,25/12/2025,Control-Sun
