Lettuce color,catalog id,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
RED,R1,0.28,0.03,0.3925,0.33,0.083,0.31,22/01/2026,White+Blue LED
RED,R2,0.23,0.03,0.3881,0.3722,0.093,0.295,22/01/2026,White+Blue LED
RED,R3,0.26,0.03,0.7414,0.3024,0.076,0.666,22/01/2026,White+Blue LED
RED,R4,0.3,0.03,0.5073,0.3515,0.088,0.419,22/01/2026,White+Blue LED
RED,R5,0.27,0.03,0.6603,0.4201,0.105,0.555,22/01/2026,White+Blue LED
GREEN,G1,0.3,0.03,0.1448,0.3915,0.098,0.047,22/01/2026,White+Blue LED
GREEN,G2,0.39,0.03,0.1571,0.4929,0.123,0.034,22/01/2026,White+Blue LED
GREEN,G3,0.3,0.03,0.1801,0.5365,0.134,0.046,22/01/2026,White+Blue LED
GREEN,G4,0.36,0.03,0.1331,0.3784,0.095,0.039,22/01/2026,White+Blue LED
GREEN,G5,0.38,0.03,0.167,0.4053,0.101,0.066,22/01/2026,White+Blue LED
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
