label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height,valPlantMean,satPlantMean,huePlantMean,plantBinImg
R1,186,140,1747,1418,20251207_141612.jpg,2992,2992,0.214881532444976,0.7740660707435659,0.1604700767296171,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
R2,0,99,1538,1657,20251207_141728.jpg,2992,2992,0.1726507231974691,0.6994066296118648,0.14178481148264954,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
R3,425,132,1599,1484,20251207_141814.jpg,2992,2992,0.15957916447171258,0.5809619204182664,0.1484376106849835,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
R4,252,190,1525,1533,20251207_141839.jpg,2992,2992,0.23899086144722193,0.38858585635576187,0.13303571759609015,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
R5,219,50,1698,1517,20251207_141906.jpg,2992,2992,0.23387973558976657,0.3820208515304876,0.14854691598485537,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
G1,491,50,1681,1739,20251207_142441.jpg,2992,2992,0.33606179441214784,0.8346107044240142,0.21607947986237544,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
G2,351,387,1657,1665,20251207_142615.jpg,2992,2992,0.35417975376898525,0.7448927122041709,0.20893575725533933,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
G3,433,0,1484,1475,20251207_142834.jpg,2992,2992,0.36604955383833054,0.811700408548654,0.20873939450472762,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
G4,46,585,1401,1385,20251207_142946.jpg,2992,2992,0.3206327684173371,0.8963373929330879,0.19828079004818946,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
G5,359,33,1500,1418,20251207_143054.jpg,2992,2992,0.31411782720700837,0.741053028905702,0.19756609396467126,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]"
