plot,Infestation_Small_pct,Infestation_Medium_pct,Infestation_Large_pct,Infestation_Total_pct,Total_plants,hs_FVC,hs_ndvi_mean,hs_gndvi_mean,hs_evi_mean,hs_lai_mean,th_leaves_mean_temp
1,0.0,0.4,0.5,0.7,12,0.360549927,0.8274501000000001,0.61540503,0.976953875,3.4166185999999996,29.733522944999997
2,0.1,0.6,0.3,0.8,13,0.420518875,0.837174525,0.60408255,0.8979784,3.1308859499999997,30.50012117
3,0.0,0.5,0.4,0.7,13,0.5088386535,0.83013575,0.629914965,0.969392,3.3892603,28.875842935
4,0.0,0.5,0.6,0.8,13,0.499103546,0.820783525,0.6274505850000001,1.01832405,3.5662962499999997,27.46149858
6,0.0,0.7,0.6,0.8,17,0.6080017090000001,0.83586413,0.44033402,0.72347153,2.49951985,31.280396565
7,0.1,0.3,0.3,0.7,9,0.6188144685,0.8403272500000001,0.445600675,0.730609745,2.52534605,29.840627545
9,0.0,0.2,0.6,0.6,14,0.5725746155,0.83775318,0.5778929,0.822904495,2.85926855,31.20556964
10,0.1,0.5,0.7,0.8,16,0.46789741500000004,0.79458472,0.469632685,0.996446535,3.48714355,29.41185527
11,0.0,0.5,0.6,0.9,15,0.6479530335,0.8201798,0.43897735,0.8004723499999999,2.7781085,29.948886325
12,0.2,0.2,0.3,0.6,9,0.6193084719999999,0.80043283,0.461051375,0.9701064500000001,3.3918452,27.10830522
13,0.2,0.4,0.6,0.9,16,0.5983403523333334,0.7707168466666667,0.44608933333333334,0.85619133,2.9797002999999997,29.41571777
15,0.2,0.5,0.5,1.0,23,0.6970252990000001,0.794709355,0.496830865,0.9571874,3.34510425,
16,0.5,0.5,0.6,1.0,22,0.609966278,0.817287,0.44744748,0.9367733,3.271245,29.35854677
18,0.2,0.8,0.9,0.9,28,0.661334991,0.8036879,0.37383342,0.82358,2.8617127,19.49418777
19,0.4,0.8,0.5,0.9,30,0.698959351,0.8364782,0.48353678,0.8350994,2.9033895,
20,0.7,0.9,0.5,1.0,30,0.772563934,0.8054042,0.531565,0.818041,2.8416724,
22,0.5,0.8,0.3,0.9,27,0.472728729,0.83701956,0.5379343,1.0277054,3.6002383,
23,0.5,0.3,0.5,1.0,15,0.477092743,0.8187068,0.6432201,1.0474205,3.6715672,
24,0.3,0.6,0.3,0.9,17,0.727607727,0.82032233,0.4095729,0.7004412,2.416196,
25,0.4,0.5,0.7,0.9,31,0.6784420010000001,0.83827125,0.50425221,0.7737265499999999,2.68134265,
