Treatment,Plot,Date,Plant_Number,Small_0_1_cm,Medium_1_3_cm,Large_over_3_cm,Total,Infestation_Small_pct,Infestation_Medium_pct,Infestation_Large_pct,Infestation_Total_pct,plot number,AUG,hs_img_num,hs_acquisition date,hs_longitude,hs_latitude,hs_FVC,hs_ndvi_mean,hs_ndvi_std,hs_ndvi_median,hs_gndvi_mean,hs_evi_mean,hs_lai_mean,th_image_name,th_CreateDate,th_fvc,th_leaves_mean_temp,th_leaves_median_temp,th_leaves_std_temp,th_leaves_skewness_tmp,th_SubjectDistance,th_FocalLength,th_RelativeHumidity,th_GPSLatitude,th_GPSLongitude
Larvicide,1,28/09/2025,1,0,0,0,0,0,0,0,0,1,False,121,30/09/2025 12:01,35.18304443,32.71229553,0.400936127,0.8395593,0.055522498,0.84527713,0.60455436,0.92701495,3.23594,img_20250930_111139_157.jpg,2025:09:30 11:11:39,0.604264577,29.8032722,28.9892187,2.556514566,1.299911882,5 m,21.2 mm,54.00%,32.71231667,35.18306667
Larvicide,1,28/09/2025,2,0,3,0,3,0,1,0,1,1,False,120,30/09/2025 12:00,35.1829834,32.71218872,0.320163727,0.8153409,0.059064567,0.8152563,0.6262557,1.0268928,3.5972972,img_20250930_111008_430.jpg,2025:09:30 11:10:09,0.554969788,29.66377369,28.61184592,3.155598878,0.995078496,5 m,21.2 mm,54.00%,32.71221667,35.18298333
Larvicide,1,28/09/2025,3,0,2,1,3,0,1,1,1,1,True,,,,,,0.8160779171331995,,,,,,,,,,,,,,,,,
Larvicide,1,28/09/2025,4,0,0,0,0,0,0,0,0,1,True,,,,,,0.8390826574781189,,,,,,,,,,,,,,,,,
Larvicide,1,28/09/2025,5,0,1,1,2,0,1,1,1,1,True,,,,,,0.8133733386982185,,,,,,,,,,,,,,,,,
Larvicide,1,28/09/2025,6,0,0,1,1,0,0,1,1,1,True,,,,,,0.862692923487891,,,,,,,,,,,,,,,,,
Larvicide,1,28/09/2025,7,0,0,1,1,0,0,1,1,1,True,,,,,,0.8049795481515635,,,,,,,,,,,,,,,,,
Larvicide,1,28/09/2025,8,0,0,0,0,0,0,0,0,1,True,,,,,,0.8238226054095877,,,,,,,,,,,,,,,,,
Larvicide,1,28/09/2025,9,0,0,1,1,0,0,1,1,1,True,,,,,,0.8280662556740742,,,,,,,,,,,,,,,,,
Larvicide,1,28/09/2025,10,0,1,0,1,0,1,0,1,1,True,,,,,,0.8336370862693755,,,,,,,,,,,,,,,,,
Larvicide_Pyrethroid,2,28/09/2025,1,0,2,0,2,0,1,0,1,2,False,123,30/09/2025 12:04,35.18323517,32.71256638,0.44512558,0.82616675,0.06616212,0.8300912,0.5346458,0.9562527,3.3417227,img_20250930_111443_339.jpg,2025:09:30 11:14:44,0.643555959,29.5271122,28.74003203,2.554754659,1.525960355,5 m,21.2 mm,54.00%,32.71258333,35.18325
Larvicide_Pyrethroid,2,28/09/2025,2,0,1,0,1,0,1,0,1,2,False,122,30/09/2025 12:03,35.18318558,32.71248627,0.39591217,0.8481823,0.080159634,0.8581741,0.6735193,0.8397041,2.9200492,img_20250930_111329_403.jpg,2025:09:30 11:13:30,0.457149506,31.47313014,30.95566517,1.754415579,1.618910366,5 m,21.2 mm,54.00%,32.71251667,35.1832
Larvicide_Pyrethroid,2,28/09/2025,3,1,0,0,1,1,0,0,1,2,True,,,,,,0.8566159112636024,,,,,,,,,,,,,,,,,
Larvicide_Pyrethroid,2,28/09/2025,4,0,0,1,1,0,0,1,1,2,True,,,,,,0.8204638873553288,,,,,,,,,,,,,,,,,
Larvicide_Pyrethroid,2,28/09/2025,5,0,1,0,1,0,1,0,1,2,True,,,,,,0.8497129513781432,,,,,,,,,,,,,,,,,
Larvicide_Pyrethroid,2,28/09/2025,6,0,2,1,3,0,1,1,1,2,True,,,,,,0.8151359032309865,,,,,,,,,,,,,,,,,
Larvicide_Pyrethroid,2,28/09/2025,7,0,0,0,0,0,0,0,0,2,True,,,,,,0.8266344952656395,,,,,,,,,,,,,,,,,
Larvicide_Pyrethroid,2,28/09/2025,8,0,1,1,2,0,1,1,1,2,True,,,,,,0.8232270318599372,,,,,,,,,,,,,,,,,
Larvicide_Pyrethroid,2,28/09/2025,9,0,0,0,0,0,0,0,0,2,True,,,,,,0.8370442365556345,,,,,,,,,,,,,,,,,
Larvicide_Pyrethroid,2,28/09/2025,10,0,2,0,2,0,1,0,1,2,True,,,,,,0.8300260473488609,,,,,,,,,,,,,,,,,
Larvicide_Carbamate,3,28/09/2025,1,0,0,1,1,0,0,1,1,3,False,124,30/09/2025 12:06,35.18334198,32.71271133,0.492397308,0.8233225,0.06242177,0.8294027,0.60487103,0.8918363,3.1086636,img_20250930_111625_101.jpg,2025:09:30 11:16:25,0.569889069,29.96149959,29.69992542,1.465942268,1.920766408,5 m,21.2 mm,54.00%,32.71273333,35.18335
Larvicide_Carbamate,3,28/09/2025,2,0,0,2,2,0,0,1,1,3,False,125,30/09/2025 12:08,35.18341064,32.71281433,0.525279999,0.836949,0.07159313,0.84766334,0.6549589,1.0469477,3.669857,img_20250930_111829_991.jpg,2025:09:30 11:18:30,0.656205495,27.79018628,27.58759661,1.751183062,2.413484692,5 m,21.2 mm,54.00%,32.71283333,35.1834
Larvicide_Carbamate,3,28/09/2025,3,0,0,0,0,0,0,0,0,3,True,,,,,,0.8477706455060746,,,,,,,,,,,,,,,,,
Larvicide_Carbamate,3,28/09/2025,4,0,1,1,2,0,1,1,1,3,True,,,,,,0.818638951986513,,,,,,,,,,,,,,,,,
Larvicide_Carbamate,3,28/09/2025,5,0,1,0,1,0,1,0,1,3,True,,,,,,0.7988417236914654,,,,,,,,,,,,,,,,,
Larvicide_Carbamate,3,28/09/2025,6,0,0,0,0,0,0,0,0,3,True,,,,,,0.8478332573469181,,,,,,,,,,,,,,,,,
Larvicide_Carbamate,3,28/09/2025,7,0,3,1,4,0,1,1,1,3,True,,,,,,0.8508913786561466,,,,,,,,,,,,,,,,,
Larvicide_Carbamate,3,28/09/2025,8,0,1,0,1,0,1,0,1,3,True,,,,,,0.8531343347176534,,,,,,,,,,,,,,,,,
Larvicide_Carbamate,3,28/09/2025,9,0,2,0,2,0,1,0,1,3,True,,,,,,0.8262649387419959,,,,,,,,,,,,,,,,,
Larvicide_Carbamate,3,28/09/2025,10,0,0,0,0,0,0,0,0,3,True,,,,,,0.8115863443827765,,,,,,,,,,,,,,,,,
Larvicide_Pyrethroid_Carbamate,4,28/09/2025,1,0,0,1,1,0,0,1,1,4,False,127,30/09/2025 12:11,35.18357086,32.71305466,0.455440521,0.82999885,0.06549598,0.8385464,0.60504097,1.0195274,3.5706499,img_20250930_112141_759.jpg,2025:09:30 11:21:42,0.70642217,27.9494447,27.64210936,1.875840973,2.179797138,5 m,21.2 mm,54.00%,32.71306667,35.18358333
Larvicide_Pyrethroid_Carbamate,4,28/09/2025,2,0,1,0,1,0,1,0,1,4,False,126,30/09/2025 12:10,35.18351364,32.71295929,0.542766571,0.8115682,0.07440986,0.82290834,0.6498602,1.0171207,3.5619426,img_20250930_112013_495.jpg,2025:09:30 11:20:14,0.675118764,26.97355246,26.73217012,1.943012245,2.652936648,5 m,21.2 mm,54.00%,32.71298333,35.18351667
Larvicide_Pyrethroid_Carbamate,4,28/09/2025,3,0,1,1,2,0,1,1,1,4,True,,,,,,0.8568813886785465,,,,,,,,,,,,,,,,,
Larvicide_Pyrethroid_Carbamate,4,28/09/2025,4,0,0,0,0,0,0,0,0,4,True,,,,,,0.811694607459236,,,,,,,,,,,,,,,,,
Larvicide_Pyrethroid_Carbamate,4,28/09/2025,5,0,1,0,1,0,1,0,1,4,True,,,,,,0.8087981430122746,,,,,,,,,,,,,,,,,
