hs_img_num,hs_longitude,hs_latitude,hs_acquisition date,hs_FVC,hs_ndvi_mean,hs_ndvi_std,hs_ndvi_median,hs_gndvi_mean,hs_evi_mean,hs_lai_mean,th_image_name,th_fvc,th_leaves_mean_temp,th_leaves_median_temp,th_leaves_std_temp,th_leaves_skewness_tmp,th_CreateDate,th_SubjectDistance,th_FocalLength,th_RelativeHumidity,th_GPSLatitude,th_GPSLongitude
117,35.1832962,32.71242142,30-09-2025,0.6871185302734375,0.82801926,0.0905199,0.84339845,0.82801926,0.70300746,2.4254806,img_20250930_110339_427,0.5728759765625,30.603310039114987,30.299707283013845,1.666310233135235,1.3957521956249572,2025:09:30 11:03:40,5 m,21.2 mm,54.0 %,32.71243333333334,35.18331666666666
125,35.18341064,32.71281433,30-09-2025,0.7091026306152344,0.80971044,0.08388685,0.8211857,0.80971044,1.0315953,3.6143117,img_20250930_111829_991,0.6562054951985677,27.7901862760044,27.587596610608276,1.7511830616919857,2.4134846922115467,2025:09:30 11:18:30,5 m,21.2 mm,54.0 %,32.712833333333336,35.1834
104,35.18352127,32.71249008,30-09-2025,0.6750526428222656,0.8203179,0.08859065,0.8388637,0.8203179,0.8257645,2.8696163,img_20250930_094758_072,0.5906893412272135,29.37941879515187,28.961215664043323,2.006657668775106,1.5412934994264431,2025:09:30 09:47:58,5 m,21.2 mm,54.0 %,32.71248333333334,35.18351666666666
90,35.18346405,32.71192932,30-09-2025,0.0445594787597656,0.7229853,0.07623203,0.7151979,0.7229853,0.34131765,1.1168873,,,,,,,,,,,,
109,35.18392944,32.71308517,30-09-2025,0.7225990295410156,0.82681024,0.091467746,0.8454051,0.82681024,0.8049134,2.7941768,,,,,,,,,,,,
97,35.18396759,32.71290207,30-09-2025,0.7841072082519531,0.82129824,0.09730922,0.8443627,0.82129824,0.7525952,2.6048899,,,,,,,,,,,,
103,35.18344879,32.71239471,30-09-2025,0.54388427734375,0.8022211,0.082713895,0.81086266,0.8022211,1.1340994,3.9851716,img_20250930_094606_097,0.6247787475585938,24.83719164286358,23.881049311292145,3.6357138737980086,1.7896441723773735,2025:09:30 09:46:06,5 m,21.2 mm,54.0 %,32.71236666666667,35.18343333333333
122,35.18318558,32.71248627,30-09-2025,0.5433998107910156,0.8216763,0.079006806,0.8322831,0.8216763,0.78997135,2.7401164,img_20250930_111329_403,0.4571495056152344,31.47313014171069,30.955665173205205,1.7544155792343996,1.6189103664103572,2025:09:30 11:13:30,5 m,21.2 mm,54.0 %,32.71251666666667,35.1832
128,35.18370056,32.7132225,30-09-2025,0.0133819580078125,0.7112228,0.06277691,0.71129155,0.7112228,0.77400315,2.6823435,img_20250930_112354_374,0.0551706949869791,33.40940157361765,33.914658239640744,2.328097530799276,-0.6525549711534945,2025:09:30 11:23:55,5 m,21.2 mm,54.0 %,32.71325,35.183699999999995
110,35.18396759,32.71316147,30-09-2025,0.6393241882324219,0.79207987,0.08907737,0.80393654,0.79207987,1.0941834,3.8407552,,,,,,,,,,,,
114,35.18365479,32.71294403,30-09-2025,0.7039031982421875,0.80650103,0.08160398,0.8191865,0.80650103,0.8039489,2.7906873,img_20250930_105601_469,0.4928448994954427,31.325606649401934,30.89619548016441,1.7863788366651698,1.3899974246581288,2025:09:30 10:56:02,5 m,21.2 mm,54.0 %,32.71295,35.18366666666666
126,35.18351364,32.71295929,30-09-2025,0.6600456237792969,0.7959912,0.07791848,0.80504423,0.7959912,1.0112146,3.540575,img_20250930_112013_495,0.6751187642415365,26.9735524601823,26.73217011945508,1.9430122448462603,2.652936648312729,2025:09:30 11:20:14,5 m,21.2 mm,54.0 %,32.712983333333334,35.18351666666666
107,35.18370056,32.71276474,30-09-2025,0.5010032653808594,0.7434669,0.07122544,0.7442393,0.7434669,1.0207008,3.574895,img_20250930_095430_169,0.5044263203938802,28.995912038777316,28.66933795563472,2.1840367559379943,1.105851434851592,2025:09:30 09:54:30,5 m,21.2 mm,54.0 %,32.71273333333334,35.18368333333333
93,35.18405151,32.71279526,30-09-2025,0.7459716796875,0.82179487,0.09672922,0.84327424,0.82179487,0.65887797,2.2658207,,,,,,,,,,,,
99,35.18366241,32.71245956,30-09-2025,0.0190925598144531,0.68601084,0.06140718,0.6745486,0.68601084,0.6849789,2.3602538,,,,,,,,,,,,
94,35.18420792,32.71300507,30-09-2025,0.7035140991210938,0.8180492,0.0792943,0.83579266,0.8180492,0.7685348,2.6625588,,,,,,,,,,,,
100,35.18349075,32.71221542,30-09-2025,0.6306953430175781,0.81624323,0.08716572,0.83310133,0.81624323,0.9224609,3.2194638,img_20250930_093851_537,0.4954071044921875,29.358546772767564,28.66933795563472,2.3422631834884653,1.3399711897720232,2025:09:30 09:38:52,5 m,21.2 mm,54.0 %,32.7122,35.18348333333333
121,35.18304443,32.71229553,30-09-2025,0.5692558288574219,0.81073385,0.07562091,0.82144994,0.81073385,0.86391026,3.0076268,img_20250930_111139_157,0.6042645772298177,29.80327220161067,28.989218702525875,2.5565145662021,1.2999118824478446,2025:09:30 11:11:39,5 m,21.2 mm,54.0 %,32.712316666666666,35.18306666666666
119,35.18318176,32.71224213,30-09-2025,0.6640701293945312,0.8321506,0.08990846,0.8505273,0.8321506,0.67789495,2.3346238,img_20250930_110709_901,0.5201059977213541,30.926517101327185,30.49226615154328,1.8832035140889023,1.2649500556552793,2025:09:30 11:07:10,5 m,21.2 mm,54.0 %,32.712250000000004,35.183166666666665
113,35.18370438,32.71302795,30-09-2025,0.720123291015625,0.83508074,0.08572443,0.8539771,0.83508074,0.7071213,2.4403648,img_20250930_105348_151,0.5503069559733073,31.086233988951196,30.75068856146021,1.7804403868410916,0.9967482839457894,2025:09:30 10:53:48,5 m,21.2 mm,54.0 %,32.713033333333335,35.183699999999995
123,35.18323517,32.71256638,30-09-2025,0.5310897827148438,0.80887145,0.077090055,0.8147851,0.80887145,0.91820675,3.204072,img_20250930_111443_339,0.6435559590657552,29.527112204288063,28.740032030119323,2.554754659179442,1.5259603549646152,2025:09:30 11:14:44,5 m,21.2 mm,54.0 %,32.712583333333335,35.18325
111,35.18391037,32.71333313,30-09-2025,0.4253273010253906,0.7800169,0.08365011,0.7868334,0.7800169,1.0241752,3.5874653,img_20250930_104903_145,0.5717760721842448,29.318162693982988,28.59159198248432,2.1355869724286447,1.9838330030515952,2025:09:30 10:49:03,5 m,21.2 mm,54.0 %,32.71333333333334,35.18393333333333
96,35.18406677,32.7130661,30-09-2025,0.756256103515625,0.81427634,0.075996146,0.8288902,0.81427634,0.8197749,2.8479455,,,,,,,,,,,,
102,35.18331528,32.71217728,30-09-2025,0.6312141418457031,0.8372792,0.08452095,0.8537076,0.8372792,0.7903546,2.741503,img_20250930_094356_059,0.5587666829427084,30.61559389260044,30.120524881036545,1.9604126000335729,1.203341879376538,2025:09:30 09:43:56,5 m,21.2 mm,54.0 %,32.71215,35.18328333333333
