plot number,treatment,hs_img_num,hs_longitude,hs_latitude,hs_acquisition date,hs_FVC,hs_ndvi_mean,hs_ndvi_std,hs_ndvi_median,hs_gndvi_mean,hs_evi_mean,hs_lai_mean,th_image_name,th_fvc,th_leaves_mean_temp,th_leaves_median_temp,th_leaves_std_temp,th_leaves_skewness_tmp,th_CreateDate,th_SubjectDistance,th_FocalLength,th_RelativeHumidity,th_GPSLatitude,th_GPSLongitude
22,Larvicide,91,35.18371582,32.71231079,30/09/2025 10:01,0.472728729,0.83701956,0.06422679,0.8438026,0.5379343,1.0277054,3.6002383,,,,,,,,,,,,
23,Larvicide+ Talstar,92,35.18389511,32.71255493,30/09/2025 10:05,0.477092743,0.8187068,0.07379088,0.83204126,0.6432201,1.0474205,3.6715672,,,,,,,,,,,,
24,Larvicide +Lannate,93,35.18405151,32.71279526,30/09/2025 10:09,0.727607727,0.82032233,0.10819489,0.84680605,0.4095729,0.7004412,2.416196,,,,,,,,,,,,
25,Larvicide +Talstar+Lannate,94,35.18420792,32.71300507,30/09/2025 10:13,0.677047729,0.8182088,0.08549771,0.8389086,0.46881607,0.7972362,2.7664003,,,,,,,,,,,,
25,Larvicide +Talstar+Lannate,95,35.18424225,32.71324539,30/09/2025 10:19,0.679836273,0.8583337,0.08034831,0.8788665,0.53968835,0.7502169,2.596285,,,,,,,,,,,,
20,Larvicide+ Talstar,96,35.18406677,32.7130661,30/09/2025 10:28,0.772563934,0.8054042,0.09254956,0.82667243,0.531565,0.818041,2.8416724,,,,,,,,,,,,
19,Larvicide,97,35.18396759,32.71290207,30/09/2025 10:32,0.698959351,0.8364782,0.092561536,0.85750526,0.48353678,0.8350994,2.9033895,,,,,,,,,,,,
18,Larvicide +Talstar+Lannate,98,35.18380356,32.71268845,30/09/2025 10:35,0.661334991,0.8036879,0.10241896,0.82309556,0.37383342,0.82358,2.8617127,,,,,,,,,,,,
16,Larvicide +Lannate,100,35.18349075,32.71221542,30/09/2025 10:40,0.609966278,0.817287,0.09328395,0.8360982,0.44744748,0.9367733,3.271245,img_20250930_093851_537,0.495407104,29.35854677,28.66933796,2.342263183,1.33997119,2025:09:30 09:38:52,5 m,21.2 mm,54.00%,32.7122,35.18348333
11,Larvicide+ Talstar,101,35.18325424,32.71212006,30/09/2025 10:43,0.688266754,0.7987163,0.09171647,0.8206546,0.4050834,0.7978537,2.768634,img_20250930_094218_451,0.614503225,29.28217876,28.96121566,2.099829783,1.304405321,2025:09:30 09:42:19,5 m,21.2 mm,54.00%,32.71208333,35.18325
11,Larvicide+ Talstar,102,35.18331528,32.71217728,30/09/2025 10:44,0.607639313,0.8416433,0.0841863,0.8572173,0.4728713,0.803091,2.787583,img_20250930_094356_059,0.558766683,30.61559389,30.12052488,1.9604126,1.203341879,2025:09:30 09:43:56,5 m,21.2 mm,54.00%,32.71215,35.18328333
12,Larvicide +Talstar+Lannate,103,35.18344879,32.71239471,30/09/2025 10:47,0.592418671,0.77647746,0.11902009,0.8004352,0.47327715,1.086359,3.8124473,img_20250930_094606_097,0.624778748,24.83719164,23.88104931,3.635713874,1.789644172,2025:09:30 09:46:06,5 m,21.2 mm,54.00%,32.71236667,35.18343333
12,Larvicide +Talstar+Lannate,104,35.18352127,32.71249008,30/09/2025 10:49,0.646198273,0.8243882,0.0912474,0.84347785,0.4488256,0.8538539,2.9712431,img_20250930_094758_072,0.590689341,29.3794188,28.96121566,2.006657669,1.541293499,2025:09:30 09:47:58,5 m,21.2 mm,54.00%,32.71248333,35.18351667
13,Larvicide,105,35.18359756,32.71261978,30/09/2025 10:51,0.52255249,0.82149684,0.08463673,0.8377779,0.428868,0.75110966,2.5995147,img_20250930_095035_600,0.507710775,29.93847564,29.54249738,2.430163078,1.164055723,2025:09:30 09:50:36,5 m,21.2 mm,54.00%,32.71258333,35.18358333
13,Larvicide,106,35.18364716,32.71268845,30/09/2025 10:53,0.659641266,0.7932094,0.107181914,0.8171623,0.40751,0.84114313,2.9252555,img_20250930_095214_352,0.52341334,29.31276563,28.96121566,2.100663625,1.386111569,2025:09:30 09:52:15,5 m,21.2 mm,54.00%,32.71266667,35.18363333
13,Larvicide,107,35.18370056,32.71276474,30/09/2025 11:00,0.612827301,0.6974443,0.122263774,0.7210563,0.50189,0.9763212,3.4143307,img_20250930_095430_169,0.50442632,28.99591204,28.66933796,2.184036756,1.105851435,2025:09:30 09:54:30,5 m,21.2 mm,54.00%,32.71273333,35.18368333
